match_date,player_a,player_b,target,odds_a,model_probability,market_probability_a,edge,days_inactive_a,days_inactive_b,surface_days_inactive_a,surface_days_inactive_b,delta_inactivity_days,delta_surface_inactivity_days,elo_a,elo_b,delta_elo,surface_elo_a,surface_elo_b,delta_surface_elo
2023-04-17,Miomir Kecmanovic,Jiri Lehecka,1,2.85,0.9669570922851562,0.33098591549295775,0.6359711767921985,0,7,0,7,-7,-7,1873.3613945670506,1961.8560200345441,-88.4946254674935,1754.1432596318248,1742.6951443687879,11.448115263036925
2025-08-24,Ugo Blanchet,Fabian Marozsan,1,3.74,0.8867927591005961,0.25199999999999995,0.6347927591005962,0,17,0,17,-17,-17,1650.5805717326145,1859.8830967151516,-209.30252498253708,1657.4073126066364,1762.6123281995242,-105.20501559288778
2025-03-17,Chun-Hsin Tseng,Mattia Bellucci,1,2.76,0.9748895168304443,0.34128878281622915,0.6336007340142151,0,6,0,6,-6,-6,1669.4590054598173,1717.754226698499,-48.295221238681734,1549.9932675828045,1680.7513229353785,-130.75805535257405
2023-08-28,Fabian Marozsan,Richard Gasquet,1,2.75,0.9803633491198221,0.3467933491686461,0.633569999951176,0,7,0,7,-7,-7,1719.2301584614106,1781.5811461046426,-62.350987643231974,1538.6966577459177,1795.3194813116584,-256.62282356574065
2025-07-27,Hugo Gaston,Mattia Bellucci,1,2.69,0.9828076759974161,0.3502415458937198,0.6325661301036963,0,27,0,132,-27,-132,1684.466438956277,1698.1784058748785,-13.711966918601547,1657.1986263227902,1653.6382082905047,3.5604180322854972
2023-04-17,Matteo Arnaldi,Jaume Munar,1,2.72,0.9804178476333618,0.3492822966507177,0.6311355509826442,0,7,0,7,-7,-7,1718.2810425099574,1746.5220695507508,-28.24102704079337,1663.6847638434838,1796.2244642555677,-132.5397004120839
2024-01-08,Nuno Borges,Alex Michelsen,1,2.64,0.9887309273084005,0.35766423357664234,0.6310666937317582,0,7,0,7,-7,-7,1748.7997042800014,1703.0828239690866,45.7168803109148,1633.4324923957472,1627.2350444977171,6.197447898030077
2025-03-03,Yunchaokete Bu,Nishesh Basavareddy,1,2.6,0.993212898572286,0.3658536585365854,0.6273592400357006,0,7,0,7,-7,-7,1754.2635284931184,1769.7604293542354,-15.496900861116956,1693.3315993487918,1733.1426352632725,-39.811035914480726
2023-03-06,Pedro Martinez,Marc-Andrea Huesler,1,2.73,0.9756263097127279,0.34844868735083534,0.6271776223618926,0,7,0,7,-7,-7,1711.9262050168256,1765.3809230764775,-53.454718059651896,1621.1197355709778,1665.4530922491483,-44.3333566781705
2023-07-24,Zhizhen Zhang,Daniel Altmaier,1,2.7,0.9773334860801697,0.35096153846153844,0.6263719476186312,0,7,0,7,-7,-7,1750.7595304418833,1779.8257012220117,-29.06617078012846,1717.9364972670019,1762.4449749355445,-44.50847766854258
2023-07-24,Zhizhen Zhang,Yannick Hanfmann,1,2.85,0.9546304941177368,0.33098591549295775,0.6236445786247791,0,7,0,7,-7,-7,1765.9280339525715,1861.2400713614425,-95.31203740887099,1733.720230022705,1792.3090513642057,-58.58882134150076
2025-10-27,Alexandre Muller,Brandon Nakashima,1,3.4,0.901390274365743,0.2781316348195329,0.6232586395462101,0,7,0,7,-7,-7,1766.6268030547553,1900.658711166687,-134.03190811193167,1640.6268360236802,1816.5055394281799,-175.87870340449967
2024-10-14,Adrian Mannarino,Roman Safiullin,1,2.96,0.9425307710965475,0.3195402298850574,0.62299054121149,0,12,0,12,-12,-12,1734.1345164312215,1913.8181684577273,-179.6836520265058,1730.286302082875,1843.7438685107836,-113.45756642790866
2023-06-26,Guido Pella,Adrian Mannarino,0,3.76,0.8729466398557028,0.250996015936255,0.6219506239194478,0,7,0,7,-7,-7,1778.5369242563177,1838.9541641326032,-60.41723987628552,1547.1663868438668,1642.0863626647138,-94.91997582084696
2023-08-21,Juan Manuel Cerundolo,Yannick Hanfmann,1,3.01,0.9361966451009115,0.3143507972665148,0.6218458478343967,0,7,0,7,-7,-7,1694.0531046383255,1834.6335442063855,-140.58043956806,1552.4767049801321,1598.94470109106,-46.46799611092797
2023-04-03,Hugo Gaston,Jan-Lennard Struff,1,2.66,0.975800077120463,0.35436893203883496,0.6214311450816281,0,14,0,232,-14,-232,1738.3679646483336,1827.4513620272587,-89.08339737892516,1673.9578323937371,1768.4900297524177,-94.5321973586806
2024-07-15,Pedro Martinez,Matteo Arnaldi,1,3.13,0.9214389125506083,0.30133928571428575,0.6200996268363226,0,14,0,50,-14,-50,1812.73545095441,1915.3687087119072,-102.63325775749718,1743.5331366411199,1820.9228478274672,-77.38971118634731
2024-04-15,Joao Fonseca,Lorenzo Sonego,1,3.13,0.9214388926823934,0.30133928571428575,0.6200996069681077,0,7,0,7,-7,-7,1637.1029351389045,1864.9047357553247,-227.80180061642022,1600.8669094023348,1768.1413220601125,-167.2744126577777
2024-05-26,Kei Nishikori,Gabriel Diallo,1,2.56,0.9914454221725464,0.37254901960784315,0.6188964025647032,0,14,0,14,-14,-14,1939.0289782703023,1670.5296011616135,268.4993771086888,1945.7973515353567,1510.8898352819142,434.9075162534425
2025-08-07,Sebastian Baez,David Goffin,1,2.73,0.9631521701812744,0.3453237410071942,0.6178284291740802,0,11,0,11,-11,-11,1736.909346506289,1808.5633988948002,-71.65405238851122,1578.1386357869208,1764.8425248059816,-186.70388901906085
2023-03-20,Diego Schwartzman,Yibing Wu,1,2.64,0.9756263295809428,0.35922330097087385,0.6164030286100689,0,14,0,14,-14,-14,1793.344752163552,1863.0359310458157,-69.69117888226378,1753.0285056288114,1782.5728088422154,-29.544303213403964
2023-03-06,Jason Kubler,Lorenzo Sonego,1,2.63,0.9777548909187317,0.3616504854368932,0.6161044054818385,0,7,0,7,-7,-7,1815.1338632321504,1859.8165638619216,-44.68270062977126,1682.1987430457477,1740.446376694612,-58.247633648864166
